UI fieldname Plytix (displayed in UI),System fieldname (Plytix calls it label),Field type Plytix,Formula
Sublabel,sublabel,Short Text,
Suspension,suspension,Short Text,
System,system,Short Text,
System bindings,system_bindings,Short Text,
Tank,tank,Short Text,
Target group,target_group,Dropdown,
Tent groundsheets,tent_groundsheets,Dropdown,
Terrain,terrain,Short Text,
Test report status,test_report_status,Dropdown,
Thickness,thickness,Short Text,
Thickness (cm),thickness_cm,Short Text,
Thickness (mm),thickness_mm,Short Text,
Thumb lock,thumb_lock,Dropdown,
Tip Material,tip_material,Dropdown,
Tip Protector,tip_protector,Dropdown,
Toe ramp,toe_ramp,Dropdown,
Toe strap,toe_strap,Dropdown,
Top material,top_material,Short Text,
Top material (D),top_material_d,Short Text,
Tops construction,tops_construction,Short Text,
Top Sheet,top_sheet,Dropdown,
Training instructions,training_instructions,Dropdown,
Truck size (inch),truck_size_inch,Short Text,
Truck type,truck_type,Dropdown,
Type,type,Dropdown,
Type of logo,type_of_logo,Dropdown,
Type/Pump,typepump,Dropdown,
Upperhand material,upperhand_material,Dropdown,
Upper material,upper_material,Dropdown,
Usage,usage,Short Text,
User,user,Dropdown,
User manual,user_manual,Dropdown,
UV protection,uv_protection,Dropdown,
UV protection 100,uv_protection_100,Dropdown,
Velcro strap,velcro_strap,Dropdown,
Ventilation,ventilation,Dropdown,
Ventilation holes,ventilation_holes,Short Text,
Vest system,vest_system,Dropdown,
Visor,visor,Short Text,
Volume,volume,Short Text,
Volume (L),volume_l,Short Text,
Waist,waist,Short Text,
Walk mechanism,walk_mechanism,Short Text,
Watercolumn floor (mm),watercolumn_floor_mm,Short Text,
Watercolumn outer tent (mm),watercolumn_outer_tent_mm,Short Text,
Watercolumn fly,watercolumn_fly,Short Text,
Waterproof,waterproof,Dropdown,
Waterproof (IPX Rating),waterproof_ipx_rating,Dropdown,
Waterproof pocket,waterproof_pocket,Dropdown,
Waterproofness Membrane Bottom,waterproofness_membrane_bottom,Dropdown,
Waterproofness Membrane Top,waterproofness_membrane_top,Dropdown,
Waterproof pocket,waterproof_pocket,Dropdown,
Water Restistance,water_restistance,Short Text,
Weigh kg,weigh_kg,Short Text,
Weight,weight,Short Text,
Weight (g),weight_g,Short Text,
Weight (g) for Mondo size 26.5,weight_g_for_mondo_size_265,Short Text,
Weight (kg),weight_kg,Short Text,
Weight (g),weight_g,Short Text,
Weight (kg),weight_kg,Short Text,
Weight sample size g,weight_sample_size_g,Short Text,
Weight without stuff bag (g),weight_without_stuff_bag_g,Short Text,
Wheel hardness (A),wheel_hardness_a,Short Text,
Wheels,wheels,Dropdown,
Wheel Size,wheel_size,Short Text,
Whistle included,whistle_included,Dropdown,
Width,width,Short Text,
Width (cm),width_cm,Short Text,
Width (cm),width_cm,Short Text,
Width (mm),width_mm,Short Text,
Women's Fit,womens_fit,Dropdown,
Wrist material,wrist_material,Short Text,
Zipper placement,zipper_placement,Dropdown,
Zips,zips,Short Text,
Zips Bottom,zips_bottom,Dropdown,
Zips Top,zips_top,Dropdown,
Care Instructions Layout 1,care_instructions_layout_1,Paragraph,
Care Instructions Layout 2,care_instructions_layout_2,Paragraph,
Care Instructions Layout 3,care_instructions_layout_3,Paragraph,
Care Instructions Layout 4,care_instructions_layout_4,Paragraph,
EANs and sizes,eans_and_sizes,Short Text,
Brand colour ID,brand_colour_id,Short Text,
PLM Color Code,plm_color_code,Short Text,
PLM Color Name,plm_color_name,Short Text,
FEDAS Color Code,fedas_color_code,Short Text,
FEDAS Color Name,fedas_color_name,Dropdown,
EANs and sizes,eans_and_sizes,Short Text,
Product Status,product_status,Dropdown,
Adapter diameter (mm),adapter_diameter_mm,Short Text,
Adjustment,adjustment,Short Text,
Angel adjustment,angel_adjustment,Short Text,
Back muscle groups,back_muscle_groups,Short Text,
Bar Length,bar_length,Short Text,
Bar length (cm),bar_length_cm,Short Text,
Battery type,battery_type,Short Text,
Beam pattern,beam_pattern,Short Text,
Benefits,benefits,Short Text,
Blade length,blade_length,Short Text,
Bottom materia ld,bottom_materia_ld,Short Text,
Box Dimensions (L x W x H cm),box_dimensions_l_x_w_x_h_cm,Short Text,
Box dimensions (L x W x H in cm),box_dimensions_l_x_w_x_h_in_cm,Short Text,
Box weight (kg),box_weight_kg,Short Text,
Breathability,breathability,Short Text,
Brim Type,brim_type,Short Text,
Bug net,bug_net,Short Text,
Cam adapter,cam_adapter,Short Text,
Capacity,capacity,Short Text,
Category,category,Short Text,
Charging time (h),charging_time_h,Short Text,
Colour Name,colour_name,Dropdown,
Commercial Colour,commercial_colour,Dropdown,
Commercial Long Description en-UK,commercial_long_description_en_uk,Paragraph,
Commercial Name en-UK,commercial_name_en_uk,Short Text,
Content Set,content_set,Dropdown,
Crank assembly,crank_assembly,Short Text,
Deck Layers,deck_layers,Short Text,
Distance (km),distance_km,Short Text,
Enrichment comments,enrichment_comments,Short Text,
Estimated time to assemble (min),estimated_time_to_assemble_min,Short Text,
Fit Footwear en-UK,fit_footwear_en_uk,Short Text,
Folded Dimensions (L x W x H cm),folded_dimensions_l_x_w_x_h_cm,Short Text,
Front Muscle Groups,front_muscle_groups,Short Text,
Gender en-UK,gender_en_uk,Dropdown,
Good For Apparel,good_for_apparel,Dropdown,
Good For Conditions,good_for_conditions,Dropdown,
Good For Cushioning,good_for_cushioning,Dropdown,
Good For Feel,good_for_feel,Multiselect,
Good For Outdoor,good_for_outdoor,Multiselect,
Good For Outdoorfootwear,good_for_outdoorfootwear,Dropdown,
Good For Running,good_for_running,Dropdown,
Good For Support,good_for_support,Dropdown,
Good for Surface,good_for_surface,Multiselect,
Good For Type,good_for_type,Dropdown,
Good For Wintersports,good_for_wintersports,Multiselect,
Google Id,google_id,Short Text,
Grip quality (mm),grip_quality_mm,Short Text,
H2O Compatible,h2o_compatible,Dropdown,
Handle Construction,handle_construction,Dropdown,
Head band,head_band,Short Text,
IIC Category en-UK,iic_category_en_uk,Dropdown,
Image URLs Gallery,image_urls_gallery,Media Gallery,
Inseam Leg Length,inseam_leg_length,Short Text,
Insulation,insulation,Short Text,
ItemURLs,itemurls,Media Gallery,
ItemURLs 2,itemurls_2,Media (Single),
Lateral teeth,lateral_teeth,Short Text,
LED light,led_light,Dropdown,
Length,length,Short Text,
Light color,light_color,Dropdown,
Light distance (m),light_distance_m,Short Text,
Light duration (h),light_duration_h,Short Text,
Light mode,light_mode,Short Text,
Light mode flashing,light_mode_flashing,Short Text,
Light mode steady,light_mode_steady,Short Text,
Light options,light_options,Short Text,
Lining fabric material,lining_fabric_material,Short Text,
mAh,mah,Short Text,
mAh value,mah_value,Short Text,
Market,market,Short Text,
Maximum Length,maximum_length,Short Text,
Maximum Loading Capacity,maximum_loading_capacity,Short Text,
Maximum Payload,maximum_payload,Short Text,
Minimum Length,minimum_length,Short Text,
Number per Set,number_per_set,Short Text,
Packable,packable,Short Text,
Packaging Weight,packaging_weight,Short Text,
Pads Thickness (mm),pads_thickness_mm,Short Text,
Partnerzone Status,partnerzone_status,Short Text,
Plate System,plate_system,Short Text,
PLM Comments,plm_comments,Short Text,
POL Weight,pol_weight,Short Text,
Pressure max (psi),pressure_max_psi,Short Text,
Priority Production,priority_production,Dropdown,
Product Description en-UK,product_description_en_uk,Paragraph,
Product GID,product_gid,Short Text,
Product Type en-UK,product_type_en_uk,Dropdown,
Rechargeable,rechargeable,Multiselect,
Responsible enricher,responsible_enricher,Short Text,
Rubber color,rubber_color,Short Text,
Setup dimensions (L x W x H in cm),setup_dimensions_l_x_w_x_h_in_cm,Short Text,
Setup weight (kg),setup_weight_kg,Short Text,
Shell,shell,Short Text,
Shoulder width (cm),shoulder_width_cm,Short Text,
side muscle groups,side_muscle_groups,Short Text,
Size Inner Tent 1,size_inner_tent_1,Short Text,
Size Outer Tent,size_outer_tent,Short Text,
Sole pads,sole_pads,Short Text,
Space for number of rackets,space_for_number_of_rackets,Short Text,
Speed (km/h),speed_kmh,Short Text,
Sports_en,sports_en,Dropdown,
Sports en-UK,sports_en_uk,Dropdown,
Strap size,strap_size,Short Text,
Stretchability,stretchability,Multiselect,
Stringer,stringer,Short Text,
Side Stringers,stringers,Dropdown,
Taping/Bonding,tapingbonding,Multiselect,
Texter Questions,texter_questions,Short Text,
Tops reinforcement,tops_reinforcement,Short Text,
User shoe size,user_shoe_size,Short Text,
USP 1 en-UK,usp_1_en_uk,Short Text,
USP 2 en-UK,usp_2_en_uk,Short Text,
USP 3 en-UK,usp_3_en_uk,Short Text,
USP 4 en-UK,usp_4_en_uk,Short Text,
USP 5 en-UK,usp_5_en_uk,Short Text,
USP 6 en-UK,usp_6_en_uk,Short Text,
Variants 1,variants_1,Short Text,
Variants 3,variants_3,Short Text,
Watercolumn Floor,watercolumn_floor,Short Text,
Watercolumn Outer Tent,watercolumn_outer_tent,Short Text,
Waterproofness,waterproofness,Multiselect,
Waterproofness Membrane,waterproofness_membrane,Multiselect,
Watts,watts,Short Text,
Wheel grip,wheel_grip,Short Text,
Wheel size (mm),wheel_size_mm,Short Text,
Zippers,zippers,Dropdown,
